name,seed,parameters,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,disruptive_actions_per_episode,mean_return,return_std,safety_quality
DQN-h16-b64,42,519,21,19,1.0,0.0,0.0,1.2380952380952381,7.023809523809524,2.3015325663989663,1.0
DQN-h16-b64,43,519,21,19,0.9473684210526315,0.05263157894736842,0.5714285714285714,3.0476190476190474,2.5952380952380953,11.373129409373583,0.8661654135338345
DQN-h16-b64,44,519,21,19,1.0,0.0,0.0,1.0952380952380953,6.919047619047619,2.8418419659856506,1.0
DQN-h16-b64,45,519,21,19,0.42105263157894735,0.5789473684210527,0.0,0.0,-12.150000000000002,16.59555304749983,-0.1578947368421053
DQN-h16-b64,46,519,21,19,1.0,0.0,0.5714285714285714,2.0476190476190474,4.666666666666667,9.311198241816824,0.9714285714285714
DQN-h64-b32,42,5127,21,19,1.0,0.0,0.0,1.2380952380952381,7.023809523809524,2.3015325663989663,1.0
DQN-h64-b32,43,5127,21,19,1.0,0.0,0.5714285714285714,1.8571428571428572,4.761904761904762,9.337098365964215,0.9714285714285714
DQN-h64-b32,44,5127,21,19,1.0,0.0,0.0,1.1904761904761905,7.095238095238095,2.3177320997405633,1.0
DQN-h64-b32,45,5127,21,19,0.9473684210526315,0.05263157894736842,0.5714285714285714,3.3333333333333335,2.4523809523809526,11.315712592405436,0.8661654135338345
DQN-h64-b32,46,5127,21,19,1.0,0.0,0.5714285714285714,2.0476190476190474,4.666666666666667,9.311198241816824,0.9714285714285714
