method,seeds,containment_mean,containment_std,compromise_mean,return_mean,return_std,false_preventions_mean,training_wall_mean_s
Constrained PPO,5,0.932,0.03962322551231787,0.018,0.7893749999999994,4.368793228450986,0.1125,0.2460811085999012
LinUCB,5,0.93,0.0,0.0,5.855714285714286,0.14989047872445038,0.0017857142857142857,0.09297297500015703
Masked Double-DQN,5,0.93,0.0,0.0,5.940535714285714,0.02921021408930217,0.0,4.4882153918006225
Optimal stopping,5,0.974,0.011401754250991384,0.0,4.114285714285714,0.1367901143921157,0.0,0.030456900000717723
Rule threshold,5,0.974,0.011401754250991384,0.0,3.8035714285714284,0.12836044196412075,0.0,0.03110717480085441
