train_rows,test_rows,adapter_wall_s,rows_per_s,test_brier,test_ece,shared_peak_rss_mb
3000,1500,0.6761210420008865,4437.075336572747,0.19586040173600433,0.21485980562146592,893.203125
6000,3000,1.1972653339980752,5009.749994155967,0.21269363664289873,0.2251204118998505,905.0
12000,5000,2.1531719589984277,5573.173080696228,0.21224181984227425,0.2226676922933903,924.953125
