trial,decisions,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_decisions_s,process_cpu_s,cpu_utilization_one_core_pct,max_rss_mb,rss_scope,policy
1,2000.0,0.026898337500000005,0.026458,0.028917,0.032003329999999997,36894.63944244575,0.05423899999999904,100.05641743593897,912.984375,shared_process_peak_not_policy_attributable,DQN
2,2000.0,0.026517139500000005,0.026625,0.028542,0.02891741,37432.125496621804,0.053391999999998774,99.92880222577928,912.984375,shared_process_peak_not_policy_attributable,DQN
3,2000.0,0.026561046500000005,0.0273335,0.028583,0.02950083,37373.4269486243,0.0534719999999993,99.92159428984061,912.984375,shared_process_peak_not_policy_attributable,DQN
4,2000.0,0.026626113000000003,0.027292,0.028583,0.029501249999999996,37274.402502282726,0.053589999999999804,99.8767615048662,912.984375,shared_process_peak_not_policy_attributable,DQN
5,2000.0,0.0265604925,0.026812,0.028584,0.029333420000000002,37366.967988833894,0.05355000000000132,100.05005679010522,912.984375,shared_process_peak_not_policy_attributable,DQN
6,2000.0,0.026383245000000003,0.0257085,0.028459,0.030712589999999994,37612.9561727548,0.053138000000000574,99.9338632553933,912.984375,shared_process_peak_not_policy_attributable,DQN
7,2000.0,0.026648561999999997,0.027375,0.028667,0.035375409999999996,37241.9539919064,0.05363799999999941,99.87919641089266,912.984375,shared_process_peak_not_policy_attributable,DQN
1,2000.0,0.027345593,0.028833,0.03634024999999999,0.04041825,36382.461971415236,0.05569799999999958,101.32151834419354,913.0,shared_process_peak_not_policy_attributable,LinUCB
2,2000.0,0.0263929355,0.028875,0.03141605,0.03833342,37704.69501964834,0.05300800000000194,99.93252368007961,913.0,shared_process_peak_not_policy_attributable,LinUCB
3,2000.0,0.026261181,0.028542,0.03125,0.03741741,37893.918893803515,0.05273499999999842,99.91679064323343,913.0,shared_process_peak_not_policy_attributable,LinUCB
4,2000.0,0.026140543000000002,0.0285,0.031042,0.038458,38068.40893115697,0.052500999999999465,99.93147686473257,913.0,shared_process_peak_not_policy_attributable,LinUCB
5,2000.0,0.026145336,0.0285,0.03108305,0.03729241,38053.92240609195,0.052514999999999645,99.92008675779526,913.0,shared_process_peak_not_policy_attributable,LinUCB
6,2000.0,0.026268952500000005,0.028625,0.031333,0.03854476,37882.22525918286,0.052763000000002336,99.93899256751767,913.0,shared_process_peak_not_policy_attributable,LinUCB
7,2000.0,0.0263969415,0.02875,0.031041,0.03741783,37695.81183742111,0.05301399999999745,99.92028843744734,913.0,shared_process_peak_not_policy_attributable,LinUCB
1,2000.0,0.013272069000000003,0.013,0.014167,0.02012542,74520.97081022117,0.026815000000002698,99.91399161381409,913.0,shared_process_peak_not_policy_attributable,Masked PPO
2,2000.0,0.013003904500000002,0.012708,0.013669049999999999,0.018876249999999997,76050.44776196462,0.02628599999999892,99.953103493546,913.0,shared_process_peak_not_policy_attributable,Masked PPO
3,2000.0,0.013115654000000003,0.013,0.013709,0.01858426,75393.6955174344,0.02651299999999779,99.94565246267858,913.0,shared_process_peak_not_policy_attributable,Masked PPO
4,2000.0,0.013153448500000001,0.01275,0.013875,0.02066741,75208.70604092661,0.026578000000000657,99.94484945778986,913.0,shared_process_peak_not_policy_attributable,Masked PPO
5,2000.0,0.013076590000000003,0.012958,0.01375,0.017626249999999996,75656.1993191697,0.02641799999999961,99.93427368068977,913.0,shared_process_peak_not_policy_attributable,Masked PPO
6,2000.0,0.013322091000000001,0.01325,0.014044049999999999,0.020042420000000002,74265.69883458897,0.02691599999999994,99.94677749158961,913.0,shared_process_peak_not_policy_attributable,Masked PPO
7,2000.0,0.013043246500000003,0.012792,0.013625,0.018501669999999998,75859.22423794499,0.02635800000000188,99.97487162319483,913.0,shared_process_peak_not_policy_attributable,Masked PPO
1,2000.0,0.013243984500000002,0.013042,0.014,0.01879101,74700.73019522418,0.02676699999999954,99.97572225677656,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
2,2000.0,0.013036219500000001,0.012625,0.01395805,0.02087625,75910.2099054244,0.02632600000000096,99.92060929851378,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
3,2000.0,0.013099616500000001,0.012958,0.01375,0.016961749999999998,75521.21437472459,0.026465000000001737,99.93344692136087,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
4,2000.0,0.0129089135,0.012625,0.013625,0.018251249999999997,76648.66586331814,0.026080000000000325,99.9498602857681,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
5,2000.0,0.013305632500000001,0.013333,0.013875,0.01804184,74359.57629410095,0.026882000000000517,99.946706496903,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
6,2000.0,0.012936278,0.012625,0.013666,0.01870801,76482.44683977292,0.02613500000000002,99.94343740787335,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
7,2000.0,0.0128963735,0.012583,0.013584,0.019,76727.07759787251,0.026043999999998846,99.91400044794516,913.0,shared_process_peak_not_policy_attributable,Constrained PPO
