parameter,outcome,spearman_rho,standardized_group_range,permutation_importance,permutation_std,evidence_strength,causal_claim,rank_within_outcome
hidden_dim,checkpoint_mb,1.0,2.3324447490696723,9.428388628507706e-05,3.420671000460279e-05,exploratory: n<30,False,1.0
batch_size,checkpoint_mb,0.0,0.0,-5.605001618583606e-10,1.1875094948943445e-07,exploratory: n<30,False,2.0
batch_size,runtime_s,-0.7378647873726218,1.9776270754870386,0.00010615143297468183,4.196268297804584e-05,exploratory: n<30,False,1.0
hidden_dim,runtime_s,0.31622776601683794,0.7076299579040127,3.2087339521997378e-06,1.7172735515605805e-06,exploratory: n<30,False,2.0
hidden_dim,safety_quality,0.0,2.0380986614602716,0.0024935694529312404,0.0008973525093057159,exploratory: n<30,False,1.0
batch_size,safety_quality,-0.0944911182523068,0.3396831102433796,4.872004246393848e-05,4.744077408310965e-05,exploratory: n<30,False,2.0
batch_size,throughput_steps_s,0.7378647873726218,1.888271198883226,269920.6012893038,114161.56715044103,exploratory: n<30,False,1.0
hidden_dim,throughput_steps_s,-0.31622776601683794,0.9299591113341282,17837.971550197322,9002.310397060919,exploratory: n<30,False,2.0
