policy_a,policy_b,mean_difference,ci95_low,ci95_high,decision
Constrained PPO,DQN,-3.7422104248210024,-8.055954653937947,-0.7508973747016706,DQN wins
Constrained PPO,LinUCB,-4.526732310262529,-8.946992243436755,-1.307547136038187,LinUCB wins
Constrained PPO,Masked PPO,-1.8677662338902148,-6.25164677804296,1.1032082338902138,inconclusive
DQN,LinUCB,-0.761038477326969,-2.6315751789976134,0.983553699284007,inconclusive
DQN,Masked PPO,1.8725236563245817,0.4369815035799519,3.346871718377086,DQN wins
LinUCB,Masked PPO,2.6420931694510736,0.8886658711217181,4.447279236276849,LinUCB wins
