run,matched_control,parameter_distance,most_unusual_parameter,parameter_delta_standardized,runtime_pct_vs_control,memory_pct_vs_control,quality_pct_vs_control,explanation
DQN-h16-b16,DQN-h16-b32,0.8017837257372733,batch_size,0.8017837257372733,37.76324037941561,21.671775297360863,0.0,"Compared with nearest tested control DQN-h16-b32, batch_size has the largest standardized parameter difference (0.80 SD). This is an association within the tested grid, not causal attribution."
DQN-h32-b16,DQN-h32-b32,0.8017837257372733,batch_size,0.8017837257372733,39.81890930738209,3.5723543955087305,23.809523809523814,"Compared with nearest tested control DQN-h32-b32, batch_size has the largest standardized parameter difference (0.80 SD). This is an association within the tested grid, not causal attribution."
DQN-h64-b16,DQN-h64-b32,0.8017837257372733,batch_size,0.8017837257372733,24.56571964082265,3.765490023440185,0.0,"Compared with nearest tested control DQN-h64-b32, batch_size has the largest standardized parameter difference (0.80 SD). This is an association within the tested grid, not causal attribution."
