training_episodes,wall_s,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,disruptive_actions_per_episode,mean_return,return_std
30,0.21763900000223657,190,89,0.9887640449438202,0.011235955056179775,0.10526315789473684,0.5842105263157895,2.8842105263157896,5.357706025008793
60,0.29633224999997765,190,89,0.9887640449438202,0.011235955056179775,0.10526315789473684,0.5894736842105263,3.1342105263157896,5.001488005730709
120,0.4104056670003047,190,89,0.9887640449438202,0.011235955056179775,0.10526315789473684,0.5894736842105263,3.1342105263157896,5.001488005730709
