policy,episodes,attack_episodes,compromise_rate,false_preventions_per_episode,aggressiveness_score,latency_p95_ms,throughput_decisions_s,model_mb,max_rss_mb,false_prevention_constraint,latency_constraint,constraints_passed,evidence_grade,parameters,seed_count,return_mean,return_median,return_std,return_min,return_max,return_cv,return_ci95_halfwidth,containment_mean,stability,profile_trials,latency_p50_mean_ms,latency_p50_std_ms,latency_p95_mean_ms,latency_p95_std_ms,throughput_mean_decisions_s,throughput_std_decisions_s,shared_process_peak_rss_mb,training_wall_mean_s,error_compromise_rate,quantization,memory_scope,overall_score,pareto_optimal,recommendation
DQN,419.0,239.0,0.23430962343096234,0.32935560859188545,0.1054929065114587,0.02920805,36913.21416769475,0.019557952880859375,909.21875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS,5127,5,-1.7942959427207636,-1.8556085918854415,0.18546537690311102,-2.0274463007159906,-1.597852028639618,0.10336387241776981,0.16256757056936644,0.7615062761506275,moderate,7.0,0.026800571428571427,0.0006050363920577723,0.028619285714285715,0.00014517427950078314,37313.78179192424,220.71366415969982,912.984375,0.7447275747996173,0.2384937238493725,FP32,model_mb exact; RSS shared-process peak,0.595593944145212,True,REJECT: violates hard constraint
LinUCB,419.0,239.0,0.28451882845188287,0.3031026252983294,0.08936345452406165,0.03216904999999999,37385.37131139746,0.00299072265625,909.21875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS,392,5,-1.8631503579952267,-1.8741050119331746,0.3509589285120671,-2.358711217183771,-1.4331742243436754,0.18836854846739443,0.30762906441368065,0.7447698744769875,moderate,7.0,0.02866071428571429,0.00015842949460850012,0.03192933571428571,0.001950617204825665,37668.77775981714,586.0772183561415,913.0,0.1686511416002759,0.2552301255230125,FP32,model_mb exact; RSS shared-process peak,0.7318528557377801,True,REJECT: violates hard constraint
Masked PPO,419.0,239.0,0.23430962343096234,0.3198090692124105,0.2376320845341018,0.013791,75554.53820113078,0.003936767578125,909.21875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS,1032,5,-3.4724582338902152,-2.053937947494033,4.6509880080736465,-11.574582338902148,0.3785202863961812,1.3393935059265256,4.0767707366468935,0.7397489539748955,low,7.0,0.012922571428571427,0.00018855844111119948,0.013834157142857142,0.00020423080576595097,75279.27750317864,670.0192049295927,913.0,0.20722223299962933,0.2602510460251045,FP32,model_mb exact; RSS shared-process peak,0.5455361074229639,True,REJECT: violates hard constraint
Constrained PPO,419.0,239.0,0.20502092050209206,0.3198090692124105,0.24887510640885324,0.013709,76181.20482291005,0.003936767578125,909.21875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS,1032,5,-3.881121718377088,-2.053937947494033,4.304838743363652,-11.574582338902148,-1.667541766109785,1.109173856357111,3.7733575284356715,0.7071129707112972,low,7.0,0.012827285714285713,0.00028907018426079705,0.013779721428571427,0.0001660638728951977,75764.27443863395,949.5251711014907,913.0,0.2093276583997067,0.2928870292887028,FP32,model_mb exact; RSS shared-process peak,0.43857932304858394,True,REJECT: violates hard constraint
