policy,seed_count,return_mean,return_median,return_std,return_min,return_max,return_cv,return_ci95_halfwidth,containment_mean,stability
DQN,5,-1.7942959427207636,-1.8556085918854415,0.18546537690311102,-2.0274463007159906,-1.597852028639618,0.10336387241776981,0.16256757056936644,0.7615062761506275,moderate
LinUCB,5,-1.8631503579952267,-1.8741050119331746,0.3509589285120671,-2.358711217183771,-1.4331742243436754,0.18836854846739443,0.30762906441368065,0.7447698744769875,moderate
Masked PPO,5,-3.4724582338902152,-2.053937947494033,4.6509880080736465,-11.574582338902148,0.3785202863961812,1.3393935059265256,4.0767707366468935,0.7397489539748955,low
Constrained PPO,5,-3.881121718377088,-2.053937947494033,4.304838743363652,-11.574582338902148,-1.667541766109785,1.109173856357111,3.7733575284356715,0.7071129707112972,low
