context,action,security_benefit,collateral_damage,operational_cost,utility
single_confident_identity,ALLOW,0.0,0.0,0.0,0.0
single_confident_identity,MONITOR,0.035625000000000004,0.0004671050867488163,0.0125,0.022657894913251184
single_confident_identity,RATE_LIMIT,0.24937499999999996,0.0009342101734976326,0.025,0.22344078982650234
single_confident_identity,DROP_FLOW,0.391875,0.001401315260246449,0.037500000000000006,0.35297368473975355
single_confident_identity,TEMP_BLOCK_SOURCE,0.5343749999999999,0.0018684203469952652,0.05,0.48250657965300464
single_confident_identity,BLOCK_DESTINATION_PORT,0.605625,0.0023355254337440816,0.0625,0.5407894745662559
single_confident_identity,ISOLATE_HOST,0.6982499999999999,0.002802630520492898,0.07500000000000001,0.620447369479507
shared_nat_critical_service,ALLOW,0.0,0.0,0.0,0.0
shared_nat_critical_service,MONITOR,0.0475,0.1404105237347901,0.13333333333333333,-0.22624385706812344
shared_nat_critical_service,RATE_LIMIT,0.33249999999999996,0.2808210474695802,0.26666666666666666,-0.2149877141362469
shared_nat_critical_service,DROP_FLOW,0.5225,0.4212315712043703,0.4,-0.2987315712043704
shared_nat_critical_service,TEMP_BLOCK_SOURCE,0.7124999999999999,0.5616420949391604,0.5333333333333333,-0.3824754282724938
shared_nat_critical_service,BLOCK_DESTINATION_PORT,0.8075,0.7020526186739505,0.6666666666666667,-0.5612192853406173
shared_nat_critical_service,ISOLATE_HOST,0.9309999999999999,0.8424631424087407,0.8,-0.7114631424087408
