modality,calibration,evaluation_role,rows,attacks,pr_auc,precision,recall,brier,ece,evaluation_unit
network_only,raw,validation,1440,59,0.3204406217176068,0.5384615384615384,0.23728813559322035,0.03676375231489178,0.035084024161228494,one_minute_campaign_window
network_only,raw,development_test,1440,44,0.24768148911019883,0.3,0.20454545454545456,0.033005739590422155,0.034439292671198204,one_minute_campaign_window
network_only,platt_validation_fit,development_test,1440,44,0.24768148911019883,0.5714285714285714,0.09090909090909091,0.02752437606286821,0.011722479174994369,one_minute_campaign_window
provenance_only,raw,validation,1440,59,0.034584459874281895,0.03272727272727273,0.3050847457627119,0.3093758043918899,0.3903596959100997,one_minute_campaign_window
provenance_only,raw,development_test,1440,44,0.028428603671542874,0.040268456375838924,0.13636363636363635,0.12722213078531913,0.19250194829256861,one_minute_campaign_window
provenance_only,platt_validation_fit,development_test,1440,44,0.0698852550038,0.0,0.0,0.029797099095390515,0.013930895716938192,one_minute_campaign_window
late_fusion,raw,validation,1440,59,0.13499340825713213,0.15217391304347827,0.11864406779661017,0.05636205525608939,0.0597314618677527,one_minute_campaign_window
late_fusion,raw,development_test,1440,44,0.14644671812098586,0.20588235294117646,0.1590909090909091,0.03818010611898615,0.037975267435045285,one_minute_campaign_window
late_fusion,platt_validation_fit,development_test,1440,44,0.14644671812098586,0.0,0.0,0.029054621777776023,0.013477478374459131,one_minute_campaign_window
