modality,calibration,evaluation_role,rows,attacks,pr_auc,precision,recall,brier,ece
network_only,raw,validation,1440,59,0.13687610904644487,0.07692307692307693,0.05084745762711865,0.05513199197860597,0.060662071033255896
network_only,raw,development_test,1440,44,0.05672644679948945,0.02040816326530612,0.022727272727272728,0.04859263849076034,0.056101757204443964
network_only,platt_validation_fit,development_test,1440,44,0.05672644679948945,0.0,0.0,0.029760963817252507,0.010484418282991351
provenance_only,raw,validation,1440,59,0.034584459874281895,0.03272727272727273,0.3050847457627119,0.3093758043918899,0.3903596959100997
provenance_only,raw,development_test,1440,44,0.028428603671542874,0.040268456375838924,0.13636363636363635,0.12722213078531913,0.19250194829256861
provenance_only,platt_validation_fit,development_test,1440,44,0.0698852550038,0.0,0.0,0.029797099095390515,0.013930895716938192
late_fusion,raw,validation,1440,59,0.11504696707176469,0.11363636363636363,0.0847457627118644,0.05523493437203025,0.06620588060120453
late_fusion,raw,development_test,1440,44,0.07551552824412,0.12,0.06818181818181818,0.040059552769308567,0.048329948021239647
late_fusion,platt_validation_fit,development_test,1440,44,0.07551552824412,0.0,0.0,0.029583853274069143,0.00976126476410381
