detector,evaluation_role,rows,attacks,pr_auc,balanced_accuracy,precision,recall,brier,ece,false_alarms_per_hour,inference_latency_us_per_row,training_wall_s,evaluation_unit
logistic,validation,32613,456,0.19997658866232973,0.5446762634966931,0.6949152542372882,0.08991228070175439,0.012587288603428132,0.012152249611801724,0.7500624646195204,0.14523478366268916,0.014940250002837274,flow_row
random_forest,validation,32613,456,0.8213758840489498,0.6578947368421053,1.0,0.3157894736842105,0.006947223244309528,0.00680786802808696,0.0,1.0089279427672573,0.10335762500108103,flow_row
hist_gradient_boosting,validation,32613,456,0.38968844478893194,0.5339912280701754,1.0,0.06798245614035088,0.013034146790155339,0.012981336872602021,0.0,0.5737946830599296,0.7201700420009729,flow_row
benign_isolation_forest,validation,32613,456,0.015208614117425578,0.5334828260360763,0.020275919732441472,0.21271929824561403,0.134917620186123,0.2722671678324961,195.30793175953843,1.96143921130378,0.0390905840031337,flow_row
logistic,development_test,31390,306,0.13057587344402766,0.5,0.0,0.0,0.009748327492831802,0.009748327491441515,0.0,0.14139585852739883,0.014940250002837274,flow_row
random_forest,development_test,31390,306,0.6785041287620543,0.6289241128613758,0.8876404494382022,0.2581699346405229,0.00547839899472585,0.0029367102049484973,0.4166831887439599,1.040779993558466,0.10335762500108103,flow_row
hist_gradient_boosting,development_test,31390,306,0.2679301003090513,0.5447221654500602,0.30434782608695654,0.0915032679738562,0.009718566322467611,0.010045185824229367,2.6667724079613433,0.32287088244534523,0.7201700420009729,flow_row
benign_isolation_forest,development_test,31390,306,0.009957978785234117,0.5131206774306686,0.012244897959183673,0.12745098039215685,0.104549988390626,0.24765200015770175,131.08853117884976,1.9662166614006515,0.0390905840031337,flow_row
