method,seed_count,return_mean,return_std,containment_mean,compromise_mean,false_preventions_mean,training_wall_mean_s,return_ci95_halfwidth
Optimal-stopping threshold,5,-1.7427446300715985,0.18794822138738695,0.8384937238493724,0.16150627615062763,0.32935560859188545,0.0,0.1647438797147718
Prioritized replay Double-DQN,5,-1.782577565632458,0.2022548063246913,0.7615062761506276,0.23849372384937237,0.328400954653938,0.5932011502001842,0.17728415432148115
Uniform masked Double-DQN,5,-1.7942959427207636,0.18546537690311105,0.7615062761506276,0.23849372384937237,0.328400954653938,0.7509050332002516,0.16256757056936647
