method,seeds,containment_mean,containment_std,compromise_mean,compromise_std,return_mean,return_std,false_preventions_mean,training_wall_mean_s
Optimal-stopping threshold,5,0.974,0.011401754250991384,0.0,0.0,-1.8622321428571442,0.21823157409010926,0.0,0.014238825000211364
Prioritized replay Double-DQN,5,0.9560000000000001,0.035777087639996624,0.0,0.0,6.299017857142857,0.5166685482122313,0.0,2.459064766800657
Uniform masked Double-DQN,5,0.9560000000000001,0.035777087639996624,0.0,0.0,6.299017857142857,0.5166685482122313,0.0,2.5103580083999986
