action,count,fraction,method,seed
ISOLATE_HOST,0,0.0,Optimal-stopping threshold,45
ALLOW,1034,0.8983492615117289,Uniform masked Double-DQN,46
MONITOR,1,0.0008688097306689834,Uniform masked Double-DQN,46
RATE_LIMIT,0,0.0,Uniform masked Double-DQN,46
DROP_FLOW,0,0.0,Uniform masked Double-DQN,46
TEMP_BLOCK_SOURCE,0,0.0,Uniform masked Double-DQN,46
BLOCK_DESTINATION_PORT,116,0.10078192875760209,Uniform masked Double-DQN,46
ISOLATE_HOST,0,0.0,Uniform masked Double-DQN,46
ALLOW,1034,0.8983492615117289,Prioritized replay Double-DQN,46
MONITOR,1,0.0008688097306689834,Prioritized replay Double-DQN,46
RATE_LIMIT,0,0.0,Prioritized replay Double-DQN,46
DROP_FLOW,0,0.0,Prioritized replay Double-DQN,46
TEMP_BLOCK_SOURCE,0,0.0,Prioritized replay Double-DQN,46
BLOCK_DESTINATION_PORT,116,0.10078192875760209,Prioritized replay Double-DQN,46
ISOLATE_HOST,0,0.0,Prioritized replay Double-DQN,46
ALLOW,0,0.0,Optimal-stopping threshold,46
MONITOR,952,0.8913857677902621,Optimal-stopping threshold,46
RATE_LIMIT,0,0.0,Optimal-stopping threshold,46
DROP_FLOW,0,0.0,Optimal-stopping threshold,46
TEMP_BLOCK_SOURCE,0,0.0,Optimal-stopping threshold,46
BLOCK_DESTINATION_PORT,116,0.10861423220973783,Optimal-stopping threshold,46
ISOLATE_HOST,0,0.0,Optimal-stopping threshold,46
