method,brier_score,ece_10_bins,mean_probability
raw,0.21224181984227425,0.2226676922933903,0.3929203387186126
isotonic,0.21294109138185122,0.22517149255888885,0.39219605999675045
platt,0.21799586859013265,0.21283694368385583,0.395473885694867
