policy,parameters,model_mb,training_wall_s,training_cpu_s,decisions,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_decisions_s,process_cpu_s,cpu_utilization_one_core_pct,max_rss_mb,rss_scope
DQN,5127,0.019557952880859375,0.7562638339986734,0.7614100000000015,3000.0,0.026903088666666665,0.027625,0.028958,0.03450041999999999,36889.36571775204,0.08118400000000037,99.82754221433319,910.03125,shared_process_peak_not_policy_attributable
LinUCB,392,0.00299072265625,0.04711195799973211,0.04702099999999909,3000.0,0.02624025066666667,0.028792,0.030875,0.036250419999999985,37918.20605674349,0.07903699999999958,99.89804173689399,910.03125,shared_process_peak_not_policy_attributable
Masked PPO,1032,0.003936767578125,0.12663312500080792,0.13008999999999915,3000.0,0.013024993000000002,0.01275,0.01391904999999999,0.01704101,75968.03984530152,0.03945399999999921,99.90810146854888,910.03125,shared_process_peak_not_policy_attributable
Constrained PPO,1032,0.003936767578125,0.12793416700151283,0.13119700000000023,3000.0,0.012929007666666669,0.012708,0.013709,0.01675,76531.18036988251,0.03913299999999964,99.8298227138195,910.03125,shared_process_peak_not_policy_attributable
