policy,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,mean_return,return_std,aggressiveness_score,latency_p95_ms,throughput_decisions_s,model_mb,max_rss_mb,false_prevention_constraint,latency_constraint,constraints_passed,evidence_grade
DQN,419.0,239.0,0.7656903765690377,0.23430962343096234,0.32935560859188545,-1.7052505966587113,11.64975630960749,0.1054929065114587,0.02925204999999999,36485.60531008474,0.019557952880859375,884.875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS
LinUCB,419.0,239.0,0.7154811715481172,0.28451882845188287,0.3031026252983294,-2.5471360381861574,12.190566853049837,0.08936345452406165,0.039791,32738.07653053153,0.00299072265625,884.875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS
Masked PPO,419.0,239.0,0.7656903765690377,0.23430962343096234,0.3198090692124105,-3.0928400954653927,11.86305696578567,0.2376320845341018,0.014334,72431.47487457114,0.003936767578125,884.875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS
Constrained PPO,419.0,239.0,0.7949790794979079,0.20502092050209206,0.3198090692124105,-2.5486873508353223,11.432148257876936,0.24887510640885324,0.014167,73094.73992293698,0.003936767578125,884.875,False,True,False,REAL DETECTOR / COUNTERFACTUAL IPS
