excluded_family,training_wall_s,episodes,attack_episodes,containment_rate,compromise_rate,false_preventions_per_episode,disruptive_actions_per_episode,mean_return,return_std
DoS,0.3476164579988108,138,138,0.9202898550724637,0.07971014492753623,0.0,1.1376811594202898,4.72463768115942,9.168130146107844
Probe,0.31822166699930676,45,45,1.0,0.0,0.0,1.1555555555555554,7.8,0.38586123009300755
R2L,0.34239412500028266,54,54,0.018518518518518517,0.9814814814814815,0.0,0.05555555555555555,-27.27777777777778,5.105068892293397
U2R,0.3110986249994312,2,2,0.5,0.5,0.0,0.5,-9.0,17.0
